NO.,Date,State,TotalSamples,Negative,Positive
1,17-04-2020,Andaman and Nicobar Islands,1403,1210,12
2,24-04-2020,Andaman and Nicobar Islands,2679,0,27
3,27-04-2020,Andaman and Nicobar Islands,2848,0,33
4,01-05-2020,Andaman and Nicobar Islands,3754,0,33
5,16-05-2020,Andaman and Nicobar Islands,6677,0,33
6,19-05-2020,Andaman and Nicobar Islands,6965,0,33
7,20-05-2020,Andaman and Nicobar Islands,7082,0,33
8,21-05-2020,Andaman and Nicobar Islands,7167,0,33
9,22-05-2020,Andaman and Nicobar Islands,7263,0,33
10,23-05-2020,Andaman and Nicobar Islands,7327,0,33
11,24-05-2020,Andaman and Nicobar Islands,7327,0,33
12,25-05-2020,Andaman and Nicobar Islands,7363,0,33
13,26-05-2020,Andaman and Nicobar Islands,7448,0,33
14,27-05-2020,Andaman and Nicobar Islands,7499,0,33
15,28-05-2020,Andaman and Nicobar Islands,7519,0,33
16,29-05-2020,Andaman and Nicobar Islands,7567,0,33
17,30-05-2020,Andaman and Nicobar Islands,7567,0,33
18,31-05-2020,Andaman and Nicobar Islands,7706,0,33
19,01-06-2020,Andaman and Nicobar Islands,7805,0,33
20,02-06-2020,Andaman and Nicobar Islands,8086,0,33
21,03-06-2020,Andaman and Nicobar Islands,8295,0,33
22,04-06-2020,Andaman and Nicobar Islands,8413,0,33
23,05-06-2020,Andaman and Nicobar Islands,8694,0,33
24,06-06-2020,Andaman and Nicobar Islands,9037,0,33
25,07-06-2020,Andaman and Nicobar Islands,9242,0,33
26,08-06-2020,Andaman and Nicobar Islands,9341,0,33
27,09-06-2020,Andaman and Nicobar Islands,9859,0,33
28,10-06-2020,Andaman and Nicobar Islands,10010,0,35
29,11-06-2020,Andaman and Nicobar Islands,10226,0,38
30,12-06-2020,Andaman and Nicobar Islands,10697,0,38
31,13-06-2020,Andaman and Nicobar Islands,10955,0,38
32,14-06-2020,Andaman and Nicobar Islands,11356,0,38
33,15-06-2020,Andaman and Nicobar Islands,11518,0,41
34,16-06-2020,Andaman and Nicobar Islands,11809,0,44
35,17-06-2020,Andaman and Nicobar Islands,12239,0,44
36,18-06-2020,Andaman and Nicobar Islands,12622,0,45
37,19-06-2020,Andaman and Nicobar Islands,12930,0,47
38,20-06-2020,Andaman and Nicobar Islands,13320,0,47
39,21-06-2020,Andaman and Nicobar Islands,13434,0,48
40,22-06-2020,Andaman and Nicobar Islands,13511,0,48
41,23-06-2020,Andaman and Nicobar Islands,13723,0,50
42,24-06-2020,Andaman and Nicobar Islands,13994,0,56
43,25-06-2020,Andaman and Nicobar Islands,14277,0,59
44,26-06-2020,Andaman and Nicobar Islands,14583,0,72
45,27-06-2020,Andaman and Nicobar Islands,14851,0,73
46,28-06-2020,Andaman and Nicobar Islands,15094,0,83
47,29-06-2020,Andaman and Nicobar Islands,15410,0,90
48,30-06-2020,Andaman and Nicobar Islands,15709,0,97
49,01-07-2020,Andaman and Nicobar Islands,15982,0,100
50,02-07-2020,Andaman and Nicobar Islands,16278,0,109
51,03-07-2020,Andaman and Nicobar Islands,16626,0,116
52,04-07-2020,Andaman and Nicobar Islands,16832,0,119
53,05-07-2020,Andaman and Nicobar Islands,16909,0,125
54,06-07-2020,Andaman and Nicobar Islands,17095,0,141
55,07-07-2020,Andaman and Nicobar Islands,17381,0,147
56,08-07-2020,Andaman and Nicobar Islands,17643,0,149
57,09-07-2020,Andaman and Nicobar Islands,17852,0,151
58,10-07-2020,Andaman and Nicobar Islands,18046,0,156
59,11-07-2020,Andaman and Nicobar Islands,18315,0,163
60,12-07-2020,Andaman and Nicobar Islands,18447,0,163
61,13-07-2020,Andaman and Nicobar Islands,18609,0,166
62,14-07-2020,Andaman and Nicobar Islands,18884,0,171
63,15-07-2020,Andaman and Nicobar Islands,19061,0,176
64,16-07-2020,Andaman and Nicobar Islands,19227,0,180
65,17-07-2020,Andaman and Nicobar Islands,19421,0,194
66,18-07-2020,Andaman and Nicobar Islands,19671,0,198
67,19-07-2020,Andaman and Nicobar Islands,19904,0,203
68,20-07-2020,Andaman and Nicobar Islands,20301,0,207
69,21-07-2020,Andaman and Nicobar Islands,20642,0,212
70,22-07-2020,Andaman and Nicobar Islands,21043,0,221
71,23-07-2020,Andaman and Nicobar Islands,21310,0,240
72,24-07-2020,Andaman and Nicobar Islands,21743,0,259
73,25-07-2020,Andaman and Nicobar Islands,21965,0,290
74,26-07-2020,Andaman and Nicobar Islands,22049,0,324
75,27-07-2020,Andaman and Nicobar Islands,22548,0,338
76,28-07-2020,Andaman and Nicobar Islands,22925,0,363
77,29-07-2020,Andaman and Nicobar Islands,23217,0,428
78,30-07-2020,Andaman and Nicobar Islands,23615,0,471
79,31-07-2020,Andaman and Nicobar Islands,24038,0,548
80,01-08-2020,Andaman and Nicobar Islands,24308,0,636
81,02-08-2020,Andaman and Nicobar Islands,24580,0,734
82,03-08-2020,Andaman and Nicobar Islands,25034,0,830
83,04-08-2020,Andaman and Nicobar Islands,25492,0,928
84,05-08-2020,Andaman and Nicobar Islands,25826,0,1027
85,06-08-2020,Andaman and Nicobar Islands,26516,0,1123
86,07-08-2020,Andaman and Nicobar Islands,26915,0,1222
87,08-08-2020,Andaman and Nicobar Islands,27073,0,1351
88,09-08-2020,Andaman and Nicobar Islands,27103,0,1490
89,10-08-2020,Andaman and Nicobar Islands,27346,0,1625
90,11-08-2020,Andaman and Nicobar Islands,27455,0,1764
91,12-08-2020,Andaman and Nicobar Islands,27744,0,1900
92,13-08-2020,Andaman and Nicobar Islands,27973,0,2037
93,14-08-2020,Andaman and Nicobar Islands,28129,0,2186
94,15-08-2020,Andaman and Nicobar Islands,28209,0,2306
95,16-08-2020,Andaman and Nicobar Islands,28229,0,2399
96,17-08-2020,Andaman and Nicobar Islands,28672,0,2445
97,18-08-2020,Andaman and Nicobar Islands,28937,0,2529
98,19-08-2020,Andaman and Nicobar Islands,29303,0,2604
99,20-08-2020,Andaman and Nicobar Islands,29487,0,2680
100,21-08-2020,Andaman and Nicobar Islands,29573,0,2747
101,22-08-2020,Andaman and Nicobar Islands,29888,0,2808
102,23-08-2020,Andaman and Nicobar Islands,30278,0,2860
103,24-08-2020,Andaman and Nicobar Islands,30513,0,2904
104,25-08-2020,Andaman and Nicobar Islands,31082,0,2945
105,26-08-2020,Andaman and Nicobar Islands,31646,0,2985
106,27-08-2020,Andaman and Nicobar Islands,31830,0,3018
107,28-08-2020,Andaman and Nicobar Islands,32100,0,3050
108,29-08-2020,Andaman and Nicobar Islands,32407,0,3081
